region,brand,total_sum,total_sum_pct
Ленинградская область,marlboro,189269,0.33
Ленинградская область,parliament,388086,0.67
Московская область,marlboro,160153,0.26
Московская область,parliament,451137,0.74
Новосибирская область,marlboro,178051,0.29
Новосибирская область,parliament,439503,0.71
Санкт-Петербург,marlboro,238860,0.36
Санкт-Петербург,parliament,428273,0.64
Свердловская область,marlboro,79357,0.16
Свердловская область,parliament,421088,0.84
г. Москва,marlboro,140650,0.3
г. Москва,parliament,325799,0.7
